Time,strategy,avg_collateral
0.05,Aggressive,4.9992399999999995
0.05,Balanced,4.99954
0.05,Opportunistic,4.999359999999999
0.05,Conservative,4.999879999999999
0.05,Progressive,4.999019999999999
0.1,Progressive,4.998239999999999
0.1,Conservative,4.999699999999999
0.1,Opportunistic,4.998879999999999
0.1,Aggressive,4.99862
0.1,Balanced,4.99914
0.15,Balanced,4.998499999999999
0.15,Progressive,4.99742
0.15,Conservative,4.99954
0.15,Opportunistic,4.9982999999999995
0.15,Aggressive,4.99754
0.2,Opportunistic,4.997420000000001
0.2,Balanced,4.99808
0.2,Progressive,4.9966
0.2,Aggressive,4.9966800000000005
0.2,Conservative,4.999359999999999
0.25,Balanced,4.99752
0.25,Aggressive,4.996040000000001
0.25,Conservative,4.999219999999999
0.25,Opportunistic,4.996880000000001
0.25,Progressive,4.995760000000001
0.3,Balanced,4.99702
0.3,Conservative,4.9991
0.3,Aggressive,4.99542
0.3,Opportunistic,4.996239999999999
0.3,Progressive,4.99497997997998
0.35,Balanced,4.99662
0.35,Conservative,4.9989
0.35,Aggressive,4.99473985985986
0.35,Progressive,4.994359979979979
0.35,Opportunistic,4.99562
0.4,Progressive,4.9937397997998
0.4,Aggressive,4.9940398598598605
0.4,Balanced,4.996100000000001
0.4,Conservative,4.99874
0.4,Opportunistic,4.9950600000000005
0.45,Opportunistic,4.9946
0.45,Progressive,4.99283973973974
0.45,Aggressive,4.9933598598598605
0.45,Conservative,4.9986
0.45,Balanced,4.99572
0.5,Conservative,4.99846
0.5,Opportunistic,4.994160000000001
0.5,Aggressive,4.99261983983984
0.5,Progressive,4.99205971971972
0.5,Balanced,4.99532
0.55,Aggressive,4.99201977977978
0.55,Progressive,4.99103967967968
0.55,Conservative,4.9982999999999995
0.55,Balanced,4.994820000000001
0.55,Opportunistic,4.993379999999999
0.6,Balanced,4.9942400000000005
0.6,Progressive,4.99021965965966
0.6,Opportunistic,4.9927600000000005
0.6,Aggressive,4.99133971971972
0.6,Conservative,4.998079999999999
0.65,Balanced,4.9937798998999
0.65,Progressive,4.989299419419419
0.65,Opportunistic,4.9921398598598605
0.65,Aggressive,4.9906997197197205
0.65,Conservative,4.997919999999999
0.7,Opportunistic,4.99165985985986
0.7,Balanced,4.99323987987988
0.7,Aggressive,4.98993967967968
0.7,Progressive,4.988719239239239
