Time,strategy,avg_pr
0.05,Aggressive,0.12
0.05,Balanced,0.475
0.05,Opportunistic,0.2733333333333333
0.05,Conservative,0.83
0.05,Cyclic,0.5766666666666667
0.1,Balanced,0.4577619047619048
0.1,Conservative,0.8061666666666666
0.1,Aggressive,0.10833333333333332
0.1,Opportunistic,0.29966666666666664
0.1,Cyclic,0.5753333333333334
0.15,Cyclic,0.5824523809523809
0.15,Balanced,0.45644444444444443
0.15,Conservative,0.7785
0.15,Aggressive,0.07466666666666666
0.15,Opportunistic,0.3170238095238095
0.2,Balanced,0.39856349206349206
0.2,Opportunistic,0.3126984126984127
0.2,Cyclic,0.5670670995670996
0.2,Conservative,0.7799206349206349
0.2,Aggressive,0.06895238095238095
0.25,Opportunistic,0.32336507936507936
0.25,Balanced,0.39267765567765567
0.25,Aggressive,0.0841269841269841
0.25,Conservative,0.794281746031746
0.25,Cyclic,0.5611853146853146
0.3,Conservative,0.7778333333333332
0.3,Cyclic,0.5584580974580975
0.3,Opportunistic,0.3124603174603175
0.3,Balanced,0.4106904761904762
0.3,Aggressive,0.08280036630036629
0.35,Opportunistic,0.3010959595959596
0.35,Aggressive,0.07481421356421354
0.35,Balanced,0.40910194707253533
0.35,Cyclic,0.54148445998446
0.35,Conservative,0.781034632034632
0.4,Conservative,0.7812588522588523
0.4,Opportunistic,0.3081133866133866
0.4,Cyclic,0.5451738816738816
0.4,Balanced,0.41039959455748926
0.4,Aggressive,0.07874989389695271
0.45,Balanced,0.39726096126096133
0.45,Opportunistic,0.2996975801975802
0.45,Aggressive,0.07552562143738613
0.45,Cyclic,0.5509269984401564
0.45,Conservative,0.7735562215562214
0.5,Balanced,0.3921543358602182
0.5,Opportunistic,0.2957534459005047
0.5,Conservative,0.7712708631238043
0.5,Aggressive,0.07713820123804643
0.5,Cyclic,0.5464224386724387
0.55,Opportunistic,0.3098588922257653
0.55,Cyclic,0.5454565826330532
0.55,Aggressive,0.07679497334450894
0.55,Balanced,0.39480448304132515
0.55,Conservative,0.7755163398692809
0.6,Cyclic,0.5407106017029291
0.6,Opportunistic,0.31481779434875407
0.6,Balanced,0.3979145369880664
0.6,Aggressive,0.0791366427689957
0.6,Conservative,0.7623444537488655
0.65,Opportunistic,0.31110167189191956
0.65,Aggressive,0.07272552885710779
0.65,Balanced,0.4035500320399701
0.65,Cyclic,0.5338207588077557
0.65,Conservative,0.7581310870502047
0.7,Conservative,0.7647709261412821
0.7,Opportunistic,0.30890186486760723
0.7,Cyclic,0.5282318447977891
0.7,Aggressive,0.07203898643570873
0.7,Balanced,0.4202228131345779
0.75,Conservative,0.764796298360708
0.75,Cyclic,0.5342886138614231
0.75,Aggressive,0.07509403957344458
0.75,Balanced,0.41648647723105925
0.75,Opportunistic,0.30983740718047154
0.8,Cyclic,0.5412965915991996
0.8,Conservative,0.7627532061416096
0.8,Balanced,0.41299467112433186
0.8,Aggressive,0.07874453691303535
0.8,Opportunistic,0.318507597963201
0.85,Opportunistic,0.32079565200880994
0.85,Aggressive,0.08207463022574409
0.85,Cyclic,0.5439487448534326
0.85,Conservative,0.7620426896993863
0.85,Balanced,0.42295618015306063
0.9,Aggressive,0.08273518311927922
0.9,Conservative,0.7657729607801065
0.9,Balanced,0.43128249465577506
0.9,Opportunistic,0.3241110318560008
0.9,Cyclic,0.5428845206688289
0.95,Cyclic,0.5353625240109895
0.95,Conservative,0.767755791862973
0.95,Balanced,0.42698922888364266
0.95,Opportunistic,0.3234901423018733
0.95,Aggressive,0.07985290569475216
1.0,Cyclic,0.5392199003411549
1.0,Balanced,0.42646931610713407
1.0,Opportunistic,0.32219471570404734
1.0,Conservative,0.7651684470531147
1.0,Aggressive,0.0793398888885007
1.05,Balanced,0.422905196462031
1.05,Opportunistic,0.320812818657177
1.05,Cyclic,0.5362212710883392
1.05,Conservative,0.7651607248081777
1.05,Aggressive,0.08368297245128689
1.1,Aggressive,0.08256403565485602
1.1,Opportunistic,0.32017306682732477
1.1,Cyclic,0.5340115733094535
1.1,Conservative,0.7613733425773307
1.1,Balanced,0.42013517760167723
1.15,Cyclic,0.5355408970460417
1.15,Balanced,0.42412382321007186
1.15,Opportunistic,0.3267558323504243
1.15,Conservative,0.7606216546050262
1.15,Aggressive,0.08296232274383364
1.2,Cyclic,0.536199471726661
1.2,Opportunistic,0.33130687796054337
1.2,Aggressive,0.08122598524475967
1.2,Conservative,0.760396232968791
1.2,Balanced,0.4248508026299456
1.25,Opportunistic,0.33362742936559725
1.25,Aggressive,0.08134184498732389
1.25,Conservative,0.7598776697425776
1.25,Cyclic,0.5436204560916003
1.25,Balanced,0.4270731680001461
1.3,Conservative,0.7585545248116717
1.3,Cyclic,0.5434500058571363
1.3,Aggressive,0.07869749544865126
1.3,Opportunistic,0.33423441285289196
1.3,Balanced,0.4285283773747697
1.35,Balanced,0.4238037708399597
1.35,Cyclic,0.5401942776539301
1.35,Conservative,0.7622834128671075
1.35,Aggressive,0.07986259642393423
1.35,Opportunistic,0.3361887331957762
1.4,Balanced,0.4257216259036713
1.4,Conservative,0.7645046313691536
1.4,Opportunistic,0.33617922547416845
1.4,Cyclic,0.5382267821240951
1.4,Aggressive,0.08286343938084778
1.45,Opportunistic,0.3364940137370875
1.45,Cyclic,0.5392165424536693
1.45,Conservative,0.7675152225482619
1.45,Aggressive,0.08191730072469199
1.45,Balanced,0.4271493042138004
1.5,Aggressive,0.0808464920929199
1.5,Cyclic,0.5401231224028276
1.5,Balanced,0.43184900002996857
1.5,Conservative,0.765766035738288
1.5,Opportunistic,0.33932419567136185
1.55,Opportunistic,0.342404461890511
1.55,Conservative,0.7643192052893885
1.55,Balanced,0.4304300270847593
1.55,Aggressive,0.08087250964597797
1.55,Cyclic,0.537376611686901
1.6,Conservative,0.7670889661062154
1.6,Cyclic,0.5382520495848518
1.6,Aggressive,0.07878754387860461
1.6,Opportunistic,0.34108865314142756
1.6,Balanced,0.43121823676112775
1.65,Balanced,0.42758177104075484
1.65,Conservative,0.7707377459449373
1.65,Cyclic,0.538548256433666
1.65,Aggressive,0.08271422590575629
1.65,Opportunistic,0.3416479475062158
1.7,Conservative,0.7733449244311588
1.7,Opportunistic,0.3384355131282789
1.7,Balanced,0.42748724608223554
1.7,Cyclic,0.5391816953759531
1.7,Aggressive,0.08246939835915607
1.75,Balanced,0.42708774182906256
1.75,Cyclic,0.539458164895902
1.75,Opportunistic,0.3362649432379311
1.75,Aggressive,0.08117961928238909
1.75,Conservative,0.7741525065260695
1.8,Cyclic,0.5383769834943055
1.8,Aggressive,0.07995704938822233
1.8,Conservative,0.7732008461678249
1.8,Opportunistic,0.3393769506764769
1.8,Balanced,0.42598730548041047
1.85,Cyclic,0.5373621402960465
1.85,Opportunistic,0.3404149624788766
1.85,Balanced,0.4256426245930065
1.85,Aggressive,0.08037523304133319
1.85,Conservative,0.7697212968266993
1.9,Conservative,0.7690299249031237
1.9,Opportunistic,0.3403656233412919
1.9,Cyclic,0.5388981010887798
1.9,Aggressive,0.08030078772832386
1.9,Balanced,0.42408842820370646
1.95,Opportunistic,0.33938715368345224
1.95,Cyclic,0.5412912968286903
1.95,Aggressive,0.0813908437022503
1.95,Balanced,0.4263962046693483
1.95,Conservative,0.7702121497683181
2.0,Aggressive,0.08193873324930762
2.0,Balanced,0.4264101863484329
2.0,Conservative,0.7720691449676725
2.0,Cyclic,0.5434077601453777
2.0,Opportunistic,0.33703619286135994
2.05,Cyclic,0.5427795046645252
2.05,Balanced,0.4286355870764416
2.05,Opportunistic,0.3376234235449767
2.05,Conservative,0.7703802894426899
2.05,Aggressive,0.08274554986899213
2.1,Opportunistic,0.33755701829358437
2.1,Conservative,0.7727033159966532
2.1,Balanced,0.42975911551980894
2.1,Cyclic,0.5401287585500443
2.1,Aggressive,0.08464583392275228
2.15,Aggressive,0.08442925484884067
2.15,Conservative,0.7726858556401867
2.15,Opportunistic,0.33663599909754965
2.15,Balanced,0.4300165982703213
2.15,Cyclic,0.5407822120632052
2.2,Conservative,0.7721665646703404
2.2,Aggressive,0.08434725936703985
2.2,Balanced,0.4312888752315599
2.2,Opportunistic,0.3343275589710178
2.2,Cyclic,0.5401210060278901
2.25,Conservative,0.7723059324560697
2.25,Opportunistic,0.33478994542809337
2.25,Aggressive,0.0839573859770421
2.25,Cyclic,0.5400351923212274
2.25,Balanced,0.4328663987725202
2.3,Aggressive,0.0834464439997973
2.3,Cyclic,0.5419051537348201
2.3,Conservative,0.7706186916122081
2.3,Opportunistic,0.3363792124640249
2.3,Balanced,0.434159845288315
2.35,Opportunistic,0.3355457414388613
2.35,Balanced,0.4341602954795043
2.35,Aggressive,0.08319008974186666
2.35,Cyclic,0.5430356496117987
2.35,Conservative,0.7695410464058489
2.4,Conservative,0.7690736260131287
2.4,Cyclic,0.5452051410293793
2.4,Aggressive,0.08272844799865005
2.4,Balanced,0.43232515290993107
2.4,Opportunistic,0.33629427478477375
2.45,Opportunistic,0.3388927621730066
2.45,Balanced,0.430132912538973
2.45,Conservative,0.7684504805249435
2.45,Cyclic,0.5463181694709607
2.45,Aggressive,0.08250143370017217
2.5,Opportunistic,0.33909981290595165
2.5,Aggressive,0.0814884809096458
2.5,Cyclic,0.5449518955535096
2.5,Balanced,0.43088743436767984
2.5,Conservative,0.7675224947727887
2.55,Opportunistic,0.3379979456391176
2.55,Conservative,0.7689027674867522
2.55,Aggressive,0.08079455675499124
2.55,Cyclic,0.5447520888725903
2.55,Balanced,0.42957906958438363
2.6,Cyclic,0.544125846784093
2.6,Aggressive,0.08125799266884931
2.6,Opportunistic,0.3374695602505735
2.6,Balanced,0.4288380670971562
2.6,Conservative,0.7706784617855204
2.65,Cyclic,0.546345846239388
2.65,Aggressive,0.08169927751330444
2.65,Opportunistic,0.33620229989627715
2.65,Balanced,0.42967609238463583
2.65,Conservative,0.7724858951792062
2.7,Balanced,0.42895601157908714
2.7,Conservative,0.7722662915376404
2.7,Cyclic,0.5452463689675
2.7,Aggressive,0.08100840930390088
2.7,Opportunistic,0.3365212619525092
2.75,Balanced,0.42791223518529714
2.75,Cyclic,0.5459113693717889
2.75,Opportunistic,0.33500282250421315
2.75,Conservative,0.7715487301225814
2.75,Aggressive,0.08099111540756104
2.8,Opportunistic,0.3365844798625383
2.8,Conservative,0.771381468252958
2.8,Cyclic,0.5454788119414495
2.8,Balanced,0.43071194912634175
2.8,Aggressive,0.08150759498200788
2.85,Aggressive,0.08048074081194441
2.85,Opportunistic,0.3355857982342506
2.85,Cyclic,0.5419716824687997
2.85,Balanced,0.430392010589822
2.85,Conservative,0.7713385259056351
2.9,Balanced,0.4308346939452985
2.9,Aggressive,0.07975722041284515
2.9,Opportunistic,0.33581952368103246
2.9,Conservative,0.7699610112272426
2.9,Cyclic,0.5437097556941941
2.95,Conservative,0.7691105212595837
2.95,Aggressive,0.07970639791321008
2.95,Balanced,0.43071702861870265
2.95,Cyclic,0.5448691769884816
2.95,Opportunistic,0.3358870110092155
3.0,Cyclic,0.5449641377791696
3.0,Balanced,0.43176747547512767
3.0,Aggressive,0.07972545682204994
3.0,Conservative,0.7686661211148369
3.0,Opportunistic,0.3339980016282453
3.05,Conservative,0.7690234804311367
3.05,Balanced,0.43363897703584814
3.05,Opportunistic,0.3339759511079988
3.05,Aggressive,0.08001242429836206
3.05,Cyclic,0.5451408873782171
3.1,Cyclic,0.5441448969964583
3.1,Balanced,0.43289439489795795
3.1,Opportunistic,0.33355366766116057
3.1,Conservative,0.7685663917246086
3.1,Aggressive,0.08016589276363933
3.15,Opportunistic,0.3350151644037893
3.15,Cyclic,0.5442035422109777
3.15,Aggressive,0.08022475677148239
3.15,Conservative,0.7692929229194495
3.15,Balanced,0.43365731396149015
3.2,Cyclic,0.5445740319819671
3.2,Aggressive,0.08030574951374557
3.2,Opportunistic,0.33414912984157746
3.2,Balanced,0.43518621540445673
3.2,Conservative,0.7696163301218235
3.25,Aggressive,0.08104269769262543
3.25,Opportunistic,0.3335649025716173
3.25,Conservative,0.7698976738598052
3.25,Balanced,0.43707941719093635
3.25,Cyclic,0.5441954268124519
3.3,Opportunistic,0.3318984751437095
3.3,Conservative,0.7712029900257465
3.3,Balanced,0.4364422192581782
3.3,Cyclic,0.5427223844487064
3.3,Aggressive,0.08205302936272468
3.35,Opportunistic,0.33271456520017084
3.35,Aggressive,0.08215921159522355
3.35,Conservative,0.7709078064397694
3.35,Balanced,0.43612952036567215
3.35,Cyclic,0.5434758553135305
3.4,Balanced,0.4362896879527114
3.4,Conservative,0.7715336364228286
3.4,Aggressive,0.0829817382120012
3.4,Opportunistic,0.3335469235129952
3.4,Cyclic,0.5427516334475129
3.45,Opportunistic,0.33387598303859123
3.45,Aggressive,0.08255632143468801
3.45,Balanced,0.43629006453875485
3.45,Conservative,0.7706974637823787
3.45,Cyclic,0.5438254975821587
3.5,Opportunistic,0.3348548513233656
3.5,Aggressive,0.08313747202662139
3.5,Balanced,0.4358105999185575
3.5,Conservative,0.7703073757074584
3.5,Cyclic,0.5435415043644489
3.55,Aggressive,0.08353690232413
3.55,Balanced,0.43641335875259557
3.55,Conservative,0.7700431139385135
3.55,Opportunistic,0.3343966207978825
3.55,Cyclic,0.5431782105268571
3.6,Cyclic,0.5443181897712365
3.6,Conservative,0.7701069444893492
3.6,Aggressive,0.08504632202372546
3.6,Balanced,0.4364622784431138
3.6,Opportunistic,0.3324039270766679
3.65,Cyclic,0.5437730508228185
3.65,Aggressive,0.08584598987360009
3.65,Conservative,0.7702625105870393
3.65,Balanced,0.4360595976956391
