Time,strategy,avg_rep_cw
0.05,Aggressive,7.000200000000001
0.05,Balanced,6.9996396158463385
0.05,Opportunistic,6.999159831966393
0.05,Conservative,7.001600000000001
0.05,Progressive,6.998279655931187
0.1,Conservative,7.001519983996799
0.1,Balanced,6.998319439798324
0.1,Aggressive,6.999239807961592
0.1,Opportunistic,6.9987195198303365
0.1,Progressive,6.99607806292097
0.15,Conservative,7.0022400080016
0.15,Balanced,6.998239231695879
0.15,Aggressive,6.997999175681474
0.15,Progressive,6.993395380635894
0.15,Opportunistic,6.996516909210216
0.2,Balanced,6.99675674100681
0.2,Opportunistic,6.995956316495759
0.2,Aggressive,6.996758431202778
0.2,Progressive,6.988587738283449
0.2,Conservative,7.002160192038407
0.25,Opportunistic,6.995195748132336
0.25,Balanced,6.996876925091655
0.25,Aggressive,6.99311537274964
0.25,Progressive,6.986783169952922
0.25,Conservative,7.00356027205441
0.3,Progressive,6.984738015538037
0.3,Conservative,7.003400680136027
0.3,Opportunistic,6.994753744433622
0.3,Balanced,6.996516188136939
0.3,Aggressive,6.991192761901945
0.35,Balanced,6.995955795782988
0.35,Conservative,7.003520712145631
0.35,Aggressive,6.988507674145356
0.35,Opportunistic,6.995273615545257
0.35,Progressive,6.98253126350652
0.4,Aggressive,6.9879461917436085
0.4,Opportunistic,6.994031580019
0.4,Balanced,6.9951146019322135
0.4,Progressive,6.981486384004353
0.4,Conservative,7.0036406320687785
0.45,Aggressive,6.985740780995647
0.45,Opportunistic,6.993471171601025
0.45,Balanced,6.994472902681816
0.45,Progressive,6.98112338830096
0.45,Conservative,7.0042809842737
0.5,Balanced,6.994872780296616
0.5,Conservative,7.005081224369749
0.5,Opportunistic,6.9935102100245015
0.5,Progressive,6.98064101142662
0.5,Aggressive,6.9846139892342
0.55,Opportunistic,6.992307434727158
0.55,Progressive,6.978232836244494
0.55,Balanced,6.995193028490368
0.55,Conservative,7.005121344412944
0.55,Aggressive,6.982889163032501
0.6,Conservative,7.005841712694787
0.6,Balanced,6.99415092888462
0.6,Opportunistic,6.992065757357416
0.6,Aggressive,6.981645209570866
0.6,Progressive,6.975059382386936
0.65,Opportunistic,6.990623465572078
0.65,Balanced,6.993789638389854
0.65,Progressive,6.974777607759506
0.65,Conservative,7.0062417927107905
0.65,Aggressive,6.980600491026147
0.7,Aggressive,6.97947512880224
0.7,Opportunistic,6.990062640410739
0.7,Balanced,6.993428459228788
0.7,Progressive,6.972567724511238
0.7,Conservative,7.005402272998872
0.75,Conservative,7.00504221699083
0.75,Balanced,6.992304704908352
0.75,Opportunistic,6.989981886078581
0.75,Progressive,6.972004278249841
0.75,Aggressive,6.977746648469124
0.8,Balanced,6.992504905108552
0.8,Conservative,7.005362705633216
0.8,Opportunistic,6.98885760839439
0.8,Aggressive,6.976982793029099
0.8,Progressive,6.971722197161706
0.85,Opportunistic,6.986849976856476
0.85,Balanced,6.992905425821573
0.85,Conservative,7.006363137857379
0.85,Aggressive,6.9740097216401535
0.85,Progressive,6.969225853577255
0.9,Opportunistic,6.985324960462326
0.9,Balanced,6.991982778187098
0.9,Conservative,7.005242232660443
0.9,Aggressive,6.971477644483845
0.9,Progressive,6.966528054574274
0.95,Opportunistic,6.983879597906389
0.95,Aggressive,6.969949894786732
0.95,Conservative,7.006443434214702
0.95,Progressive,6.965281887303372
0.95,Balanced,6.991138989672812
1.0,Opportunistic,6.9831150901529835
1.0,Aggressive,6.968418327054967
1.0,Balanced,6.990096662869408
1.0,Progressive,6.9619000633291535
1.0,Conservative,7.0070438344868915
1.05,Balanced,6.988854081572225
1.05,Aggressive,6.966487479067835
1.05,Progressive,6.958917045572102
1.05,Opportunistic,6.9811871336781355
1.05,Conservative,7.007444194911453
1.1,Conservative,7.008165284459229
1.1,Balanced,6.987528784488724
1.1,Aggressive,6.964556743044698
1.1,Opportunistic,6.981107383672773
1.1,Progressive,6.955045971246325
1.15,Balanced,6.986967091084355
1.15,Conservative,7.008765524555268
1.15,Opportunistic,6.981907137692434
1.15,Progressive,6.952143017780304
1.15,Aggressive,6.962341236287801
1.2,Opportunistic,6.9804991314614995
1.2,Conservative,7.009766726109392
1.2,Aggressive,6.960808658195967
1.2,Progressive,6.95173793557978
1.2,Balanced,6.986485195818622
1.25,Aggressive,6.957986774407092
1.25,Opportunistic,6.981502503118736
1.25,Progressive,6.949800944166779
1.25,Balanced,6.985842747808681
1.25,Conservative,7.0092061897237885
1.3,Aggressive,6.95653538217208
1.3,Opportunistic,6.98162201110041
1.3,Balanced,6.9845969874882545
1.3,Progressive,6.94999616726737
1.3,Conservative,7.009728112065739
1.35,Balanced,6.984515990953585
1.35,Progressive,6.9474921826866565
1.35,Aggressive,6.954601042325369
1.35,Opportunistic,6.980857919117051
1.35,Conservative,7.0105290331791394
1.4,Aggressive,6.953148785351172
1.4,Opportunistic,6.980895970464173
1.4,Balanced,6.982988599593872
1.4,Progressive,6.946157965294934
1.4,Conservative,7.011249369047204
1.45,Opportunistic,6.9793677382182135
1.45,Progressive,6.945339142520831
1.45,Balanced,6.9831079298870025
1.45,Conservative,7.011369553388597
1.45,Aggressive,6.951413554796014
1.5,Opportunistic,6.978803095678595
1.5,Progressive,6.944770117517606
1.5,Balanced,6.982827184111858
1.5,Conservative,7.012091483937089
1.5,Aggressive,6.949476177007819
1.55,Conservative,7.011812301680439
1.55,Progressive,6.944001955631942
1.55,Aggressive,6.94745601121505
1.55,Opportunistic,6.976669690340861
1.55,Balanced,6.982541638551281
1.6,Opportunistic,6.9743745557832595
1.6,Balanced,6.981978406401486
1.6,Conservative,7.012533375453114
1.6,Aggressive,6.944537286643484
1.6,Progressive,6.941977370037503
1.65,Opportunistic,6.9728437150859905
1.65,Aggressive,6.941544784318812
1.65,Progressive,6.940722236092208
1.65,Balanced,6.981897585023989
1.65,Conservative,7.014536219739921
1.7,Balanced,6.980370297315433
1.7,Aggressive,6.9385483773488845
1.7,Opportunistic,6.970828804835252
1.7,Conservative,7.015337221190279
1.7,Progressive,6.937995317708828
1.75,Aggressive,6.937612847821862
1.75,Conservative,7.0162587039107125
1.75,Opportunistic,6.970061955579736
1.75,Progressive,6.935277822984378
1.75,Balanced,6.980007166605716
1.8,Balanced,6.979926353103027
1.8,Aggressive,6.934131340270977
1.8,Opportunistic,6.968532058531028
1.8,Conservative,7.016579192842244
1.8,Progressive,6.9351928715074465
1.85,Opportunistic,6.967764603416633
1.85,Progressive,6.932761920185743
1.85,Aggressive,6.932575289196146
1.85,Balanced,6.979724705072061
1.85,Conservative,7.016139972739839
1.9,Opportunistic,6.966996732774087
1.9,Conservative,7.017301783855947
1.9,Progressive,6.931461933113551
1.9,Aggressive,6.931318159599843
1.9,Balanced,6.979844147601947
1.95,Aggressive,6.929575671152556
1.95,Progressive,6.930692475738388
1.95,Balanced,6.979360839612191
1.95,Conservative,7.016221545137368
1.95,Opportunistic,6.96586725106629
2.0,Progressive,6.9284663256796675
2.0,Conservative,7.017623588398981
2.0,Aggressive,6.929006925206221
2.0,Balanced,6.978515683142993
2.0,Opportunistic,6.965663175412274
2.05,Aggressive,6.927533994990351
2.05,Opportunistic,6.965500924527268
2.05,Progressive,6.926033083258074
2.05,Balanced,6.9795192964572905
2.05,Conservative,7.018745448055087
2.1,Balanced,6.979639448539514
2.1,Opportunistic,6.962802838296201
2.1,Conservative,7.018386692811359
2.1,Aggressive,6.925015992023002
2.1,Progressive,6.926708067392163
2.15,Conservative,7.018227407977565
2.15,Opportunistic,6.96272014585305
2.15,Progressive,6.9263417194475165
2.15,Aggressive,6.924445335663313
2.15,Balanced,6.980160263606993
2.2,Opportunistic,6.962638718899905
2.2,Progressive,6.924310760489583
2.2,Conservative,7.017785739090637
2.2,Aggressive,6.923387132344077
2.2,Balanced,6.979315754945192
2.25,Opportunistic,6.961990268830493
2.25,Conservative,7.01890778393105
2.25,Aggressive,6.9228164459328765
2.25,Progressive,6.920323795534214
2.25,Balanced,6.9782676804382815
2.3,Balanced,6.9782676804382815
2.3,Conservative,7.0198310012054845
2.3,Progressive,6.920026837362476
2.3,Aggressive,6.921187390074154
2.3,Opportunistic,6.960255291705974
2.35,Balanced,6.977986266619018
2.35,Aggressive,6.919237019910018
2.35,Progressive,6.918567166198211
2.35,Opportunistic,6.960375272828531
2.35,Conservative,7.020352943379639
2.4,Opportunistic,6.961099087197151
2.4,Aggressive,6.918449308769491
2.4,Balanced,6.975972823870448
2.4,Conservative,7.02067453307388
2.4,Progressive,6.915722421146498
2.45,Opportunistic,6.9596452441824255
2.45,Balanced,6.975409390525731
2.45,Progressive,6.914259830391027
2.45,Conservative,7.02167641746116
2.45,Aggressive,6.9173911618595465
2.5,Balanced,6.9745627077416374
2.5,Aggressive,6.915623702610132
2.5,Opportunistic,6.958393648399246
2.5,Progressive,6.912784170079142
2.5,Conservative,7.022277419360999
2.55,Conservative,7.022598269761799
2.55,Balanced,6.972264979496711
2.55,Aggressive,6.915337898037315
2.55,Opportunistic,6.957544133998432
2.55,Progressive,6.911723267399715
2.6,Conservative,7.022921533350635
2.6,Opportunistic,6.958550130032616
2.6,Aggressive,6.91387476152895
2.6,Balanced,6.97198222220929
2.6,Progressive,6.910440577924159
2.65,Opportunistic,6.956731241113035
2.65,Balanced,6.971617219097354
2.65,Aggressive,6.9121083646929025
2.65,Conservative,7.024245657377891
2.65,Progressive,6.910135806549199
2.7,Progressive,6.909361732091621
2.7,Opportunistic,6.956769016494357
2.7,Conservative,7.025047984198089
2.7,Balanced,6.9720191485038985
2.7,Aggressive,6.910358493092682
2.75,Aggressive,6.90927957892824
2.75,Progressive,6.906348063173624
2.75,Conservative,7.025169511074141
2.75,Balanced,6.971937770251278
2.75,Opportunistic,6.9570889622749945
2.8,Balanced,6.969720178255332
2.8,Aggressive,6.906836745516652
2.8,Progressive,6.903861556924443
2.8,Opportunistic,6.956320485914993
2.8,Conservative,7.02513364786081
2.85,Balanced,6.970122188451765
2.85,Aggressive,6.904821925405649
2.85,Progressive,6.902595384194692
2.85,Opportunistic,6.957528094003903
2.85,Conservative,7.02525511132863
2.9,Aggressive,6.904534653744965
2.9,Progressive,6.900842074312496
2.9,Conservative,7.02645739637309
2.9,Opportunistic,6.956557929556157
2.9,Balanced,6.9688710410018215
2.95,Progressive,6.89977896005111
2.95,Conservative,7.025821530180046
2.95,Aggressive,6.901598271772819
2.95,Balanced,6.968304996574465
2.95,Opportunistic,6.955222838818926
3.0,Opportunistic,6.954938934452519
3.0,Balanced,6.967492702360211
3.0,Conservative,7.027024779076678
3.0,Aggressive,6.90240753792551
3.0,Progressive,6.898514951882833
3.05,Conservative,7.026705880570839
3.05,Opportunistic,6.9540871807588145
3.05,Progressive,6.896555790135184
3.05,Balanced,6.96712702189798
3.05,Aggressive,6.900898511141524
3.1,Aggressive,6.900324858506823
3.1,Progressive,6.893533782685415
3.1,Conservative,7.027507845551864
3.1,Balanced,6.967045546131895
3.1,Opportunistic,6.952062743377345
3.15,Opportunistic,6.951696433121991
3.15,Conservative,7.02782955757498
3.15,Progressive,6.8919804421144715
3.15,Aggressive,6.899260758449617
3.15,Balanced,6.967164503381859
3.2,Opportunistic,6.950642216864024
3.2,Progressive,6.891607177537063
3.2,Aggressive,6.899175004432149
3.2,Balanced,6.966315831876708
3.2,Conservative,7.027268847324526
3.25,Progressive,6.8910327247502305
3.25,Balanced,6.966635851864526
3.25,Aggressive,6.89880134218644
3.25,Opportunistic,6.9486179871402864
3.25,Conservative,7.028271575139911
3.3,Opportunistic,6.947808654798957
3.3,Conservative,7.029274463726095
3.3,Aggressive,6.897045223145875
3.3,Balanced,6.965868293084621
3.3,Progressive,6.889762796243292
3.35,Progressive,6.887799368872682
3.35,Aggressive,6.896555073276988
3.35,Balanced,6.965463302793054
3.35,Conservative,7.028314662608258
3.35,Opportunistic,6.948211718079891
3.4,Opportunistic,6.947479981700104
3.4,Balanced,6.964613619857441
3.4,Progressive,6.887588874773312
3.4,Aggressive,6.894307165906866
3.4,Conservative,7.0292386227562105
3.45,Opportunistic,6.946786587075873
3.45,Balanced,6.965134795001016
3.45,Conservative,7.030161013677768
3.45,Progressive,6.886516988270715
3.45,Aggressive,6.891974568420823
3.5,Aggressive,6.888946717210001
3.5,Conservative,7.030562137080736
3.5,Balanced,6.9646511863288225
3.5,Opportunistic,6.946988159339528
3.5,Progressive,6.887123948231048
3.55,Balanced,6.964570009585226
3.55,Conservative,7.031486617967623
3.55,Aggressive,6.887879119765226
3.55,Opportunistic,6.945313206365756
3.55,Progressive,6.886461455503441
3.6,Progressive,6.886088652325979
3.6,Balanced,6.96379985341688
3.6,Conservative,7.031609124453413
3.6,Aggressive,6.88677022698713
3.6,Opportunistic,6.94437501682844
3.65,Opportunistic,6.943121285496256
3.65,Conservative,7.031528996700499
3.65,Aggressive,6.8846987856041775
3.65,Progressive,6.884242981372469
3.65,Balanced,6.962949675991853
3.7,Conservative,7.032652729618997
3.7,Aggressive,6.885510145465112
3.7,Balanced,6.963151167025501
3.7,Opportunistic,6.942065329580878
3.7,Progressive,6.884563149091702
3.75,Aggressive,6.88354376813278
3.75,Balanced,6.962220486708267
3.75,Conservative,7.033176216670931
3.75,Opportunistic,6.941654648543294
3.75,Progressive,6.881940504503076
3.8,Balanced,6.962137892425043
3.8,Aggressive,6.882563283284222
3.8,Conservative,7.0326182144282114
3.8,Opportunistic,6.941773147608179
3.8,Progressive,6.881159277745948
3.85,Conservative,7.032461418710914
3.85,Progressive,6.878413260626173
3.85,Aggressive,6.880596422403715
3.85,Balanced,6.960518892171082
3.85,Opportunistic,6.941690698882174
3.9,Progressive,6.877873361646543
3.9,Balanced,6.95938508893533
3.9,Opportunistic,6.941323656078518
3.9,Aggressive,6.87862947077077
3.9,Conservative,7.03386631598857
3.95,Progressive,6.877787293410637
3.95,Opportunistic,6.940670710084061
3.95,Balanced,6.958615592611383
3.95,Aggressive,6.877847790508175
3.95,Conservative,7.033787854050336
4.0,Balanced,6.957844993715165
4.0,Progressive,6.876719576381393
4.0,Aggressive,6.875887623705064
4.0,Conservative,7.034590341851052
4.0,Opportunistic,6.939899010026461
4.05,Conservative,7.034833527145906
4.05,Progressive,6.874871689874484
4.05,Balanced,6.957560875475859
4.05,Aggressive,6.874327254029329
4.05,Opportunistic,6.9384398851211175
4.1,Conservative,7.034754791984779
4.1,Progressive,6.873106847525854
4.1,Aggressive,6.87450245962319
4.1,Balanced,6.957237202399665
4.1,Opportunistic,6.937180243551384
4.15,Progressive,6.871115165626968
4.15,Balanced,6.956990312723772
4.15,Conservative,7.0360809793043115
4.15,Aggressive,6.873517421742252
4.15,Opportunistic,6.936123390840486
