Time,strategy,avg_profit
0.0,Aggressive,0.0
0.0,Balanced,0.0
0.0,Opportunistic,0.0
0.0,Conservative,0.0
0.0,Cyclic,0.0
0.05,Opportunistic,-0.0009779558651481974
0.05,Cyclic,-0.00108419669738765
0.05,Conservative,-0.000328176613657525
0.05,Aggressive,-0.00108680973483594
0.05,Balanced,-0.0007243992180018786
0.1,Cyclic,-0.001925419538990888
0.1,Opportunistic,-0.0016900622084000208
0.1,Aggressive,-0.00225388864527156
0.1,Conservative,-0.0006110674268254686
0.1,Balanced,-0.0014077340356599972
0.15,Aggressive,-0.0034332496525019142
0.15,Balanced,-0.0020337714410222627
0.15,Opportunistic,-0.0026867507592859287
0.15,Conservative,-0.0009876829896003133
0.15,Cyclic,-0.0031488539669914
0.2,Conservative,-0.0014262714106094967
0.2,Balanced,-0.0028499274724489102
0.2,Aggressive,-0.004702477094134498
0.2,Cyclic,-0.004312467868048665
0.2,Opportunistic,-0.003509088829406577
0.25,Conservative,-0.0017470960768636845
0.25,Balanced,-0.003696688894047698
0.25,Cyclic,-0.005319278889857164
0.25,Aggressive,-0.005828862310245006
0.25,Opportunistic,-0.00425800622473974
0.3,Opportunistic,-0.005017341560161712
0.3,Aggressive,-0.007021336230257319
0.3,Cyclic,-0.006430925174316646
0.3,Balanced,-0.004265244523845092
0.3,Conservative,-0.00197652522377335
0.35,Opportunistic,-0.005758533947016011
0.35,Aggressive,-0.008191000379303218
0.35,Cyclic,-0.007593316083622066
0.35,Balanced,-0.005054816922145303
0.35,Conservative,-0.002304131325947306
0.4,Opportunistic,-0.006431313424603112
0.4,Cyclic,-0.008604493571368015
0.4,Aggressive,-0.00895720896946462
0.4,Balanced,-0.005674555160038651
0.4,Conservative,-0.0026840445047017596
0.45,Opportunistic,-0.007360506769755676
0.45,Balanced,-0.006502363639223046
0.45,Conservative,-0.002936103259406546
0.45,Aggressive,-0.010022363138223113
0.45,Cyclic,-0.009876667413814396
0.5,Cyclic,-0.010925824510222932
0.5,Balanced,-0.007361720508648016
0.5,Opportunistic,-0.00812093424144237
0.5,Aggressive,-0.011032786918501337
0.5,Conservative,-0.0031162544791303814
0.55,Aggressive,-0.012188215687285358
0.55,Opportunistic,-0.008962176821356324
0.55,Conservative,-0.003437785866928954
0.55,Cyclic,-0.011825972092851945
0.55,Balanced,-0.007985959983205972
0.6,Aggressive,-0.013152034782500212
0.6,Cyclic,-0.012833033239509163
0.6,Conservative,-0.0038640588180718603
0.6,Opportunistic,-0.009639717090079604
0.6,Balanced,-0.009105121043437314
0.65,Opportunistic,-0.010358293169615475
0.65,Aggressive,-0.014059584587206894
0.65,Conservative,-0.00437147152958931
0.65,Cyclic,-0.01383769039230445
0.65,Balanced,-0.009872793643552702
0.7,Balanced,-0.010585293789547206
0.7,Opportunistic,-0.01125238307272141
0.7,Aggressive,-0.015006471286127315
0.7,Conservative,-0.004699816826328694
0.7,Cyclic,-0.014864403906965352
0.75,Balanced,-0.01125950961315896
0.75,Opportunistic,-0.011994175019469264
0.75,Aggressive,-0.016255727195415636
0.75,Cyclic,-0.015973760401924185
0.75,Conservative,-0.005078046894295037
0.8,Cyclic,-0.01685252247360089
0.8,Conservative,-0.00548528197617981
0.8,Balanced,-0.012056555667178295
0.8,Opportunistic,-0.012706660115130202
0.8,Aggressive,-0.017448272445312735
0.85,Cyclic,-0.01767171493274471
0.85,Balanced,-0.012606862812847692
0.85,Conservative,-0.005851196564322075
0.85,Opportunistic,-0.01344911058354748
0.85,Aggressive,-0.0183875752013437
0.9,Cyclic,-0.018752394055205016
0.9,Aggressive,-0.019418623766728916
0.9,Opportunistic,-0.014204443278019629
0.9,Conservative,-0.006199812872337116
0.9,Balanced,-0.013268118205917884
0.95,Conservative,-0.006268222183149198
0.95,Aggressive,-0.020287690198369318
0.95,Opportunistic,-0.015088962383961955
0.95,Balanced,-0.013994711834498956
0.95,Cyclic,-0.01949246782790063
1.0,Conservative,-0.006588419351572011
