Time,strategy,avg_reputation
0.0,Aggressive,7.0
0.0,Balanced,7.0
0.0,Opportunistic,7.0
0.0,Conservative,7.0
0.0,Progressive,7.0
1.0,Opportunistic,6.99926
1.0,Progressive,6.99926
1.0,Conservative,7.000439999999998
1.0,Aggressive,6.99878
1.0,Balanced,6.999020000000001
2.0,Progressive,6.999079999999999
2.0,Opportunistic,6.9983
2.0,Aggressive,6.99716
2.0,Conservative,7.0007399999999995
2.0,Balanced,6.998100000000001
3.0,Aggressive,6.9955
3.0,Balanced,6.99708
3.0,Conservative,7.0007399999999995
3.0,Progressive,6.9984399999999996
3.0,Opportunistic,6.996879999999999
4.0,Opportunistic,6.99616
4.0,Conservative,7.0013
4.0,Balanced,6.99652
4.0,Aggressive,6.993880000000002
4.0,Progressive,6.997999999999999
5.0,Conservative,7.001739999999999
5.0,Balanced,6.9957600000000015
5.0,Progressive,6.997280000000001
5.0,Opportunistic,6.995439999999999
5.0,Aggressive,6.9925
6.0,Aggressive,6.9910000000000005
6.0,Progressive,6.995979999999999
6.0,Conservative,7.002079999999999
6.0,Balanced,6.995120000000001
6.0,Opportunistic,6.993720000000001
7.0,Progressive,6.995339999999999
7.0,Conservative,7.0021200000000015
7.0,Aggressive,6.989
7.0,Balanced,6.99446
7.0,Opportunistic,6.99294
8.0,Aggressive,6.9875799999999995
8.0,Balanced,6.99364
8.0,Conservative,7.00242
8.0,Opportunistic,6.9916
8.0,Progressive,6.994460000000001
9.0,Opportunistic,6.990919939939939
9.0,Balanced,6.99262
9.0,Progressive,6.9934199999999995
9.0,Conservative,7.0026600000000006
9.0,Aggressive,6.986180000000002
10.0,Opportunistic,6.9902798998999005
10.0,Conservative,7.003079999999999
10.0,Balanced,6.99236
10.0,Progressive,6.99286
10.0,Aggressive,6.98456
11.0,Balanced,6.991739999999998
11.0,Progressive,6.992100000000001
11.0,Conservative,7.0031
11.0,Opportunistic,6.989299759759761
11.0,Aggressive,6.982959999999999
12.0,Progressive,6.9912
12.0,Balanced,6.991219999999999
12.0,Conservative,7.0032200000000016
12.0,Opportunistic,6.98825973973974
12.0,Aggressive,6.98088
13.0,Aggressive,6.97938
13.0,Conservative,7.003719999999999
13.0,Progressive,6.99024
13.0,Balanced,6.990579999999999
13.0,Opportunistic,6.98711973973974
14.0,Opportunistic,6.98615965965966
14.0,Conservative,7.00416
14.0,Balanced,6.989760000000001
14.0,Progressive,6.989419999999999
14.0,Aggressive,6.97778
15.0,Progressive,6.9887000000000015
15.0,Conservative,7.004160000000001
15.0,Opportunistic,6.98457957957958
15.0,Aggressive,6.976239999999999
15.0,Balanced,6.98904
16.0,Aggressive,6.974500000000001
16.0,Progressive,6.988000000000002
16.0,Conservative,7.004380000000001
16.0,Opportunistic,6.983539219219221
16.0,Balanced,6.987959999999999
17.0,Progressive,6.9870399999999995
17.0,Balanced,6.98726
17.0,Aggressive,6.972719999999999
17.0,Opportunistic,6.982539139139139
17.0,Conservative,7.004980000000001
18.0,Conservative,7.005139999999999
18.0,Aggressive,6.97048
18.0,Opportunistic,6.98131901901902
18.0,Progressive,6.98656
18.0,Balanced,6.98685985985986
19.0,Aggressive,6.96874
19.0,Conservative,7.005260000000001
19.0,Opportunistic,6.9802989989989985
19.0,Progressive,6.98582
19.0,Balanced,6.98585983983984
20.0,Opportunistic,6.979118918918919
20.0,Progressive,6.9850200000000005
20.0,Balanced,6.985339439439439
20.0,Aggressive,6.96688
20.0,Conservative,7.00548
21.0,Conservative,7.00582
21.0,Progressive,6.984120000000001
21.0,Balanced,6.984379299299299
21.0,Aggressive,6.965379039039038
21.0,Opportunistic,6.977778898898898
22.0,Progressive,6.98356
22.0,Balanced,6.98367913913914
22.0,Aggressive,6.96441903903904
22.0,Conservative,7.006
22.0,Opportunistic,6.9768388588588595
23.0,Opportunistic,6.9756788388388395
23.0,Balanced,6.983159179179179
23.0,Conservative,7.006379999999999
23.0,Progressive,6.982719499499499
23.0,Aggressive,6.96333903903904
24.0,Progressive,6.98183945945946
24.0,Aggressive,6.962259039039039
24.0,Opportunistic,6.974898898898899
24.0,Conservative,7.00688
24.0,Balanced,6.982739179179179
25.0,Conservative,7.00736
25.0,Progressive,6.981098938938938
25.0,Balanced,6.982179139139139
25.0,Aggressive,6.9609590390390395
25.0,Opportunistic,6.974318918918918
26.0,Opportunistic,6.973078818818818
26.0,Progressive,6.980458818818818
26.0,Conservative,7.00764
26.0,Balanced,6.981359119119118
26.0,Aggressive,6.958698978978979
27.0,Aggressive,6.9569388988988985
27.0,Opportunistic,6.972098758758758
27.0,Conservative,7.00788
27.0,Progressive,6.979338098098099
27.0,Balanced,6.98061905905906
28.0,Conservative,7.008280000000001
28.0,Balanced,6.980078998998998
28.0,Progressive,6.9783780180180175
28.0,Opportunistic,6.971298298298296
28.0,Aggressive,6.955118858858858
29.0,Opportunistic,6.970216656656658
29.0,Aggressive,6.953398858858858
29.0,Balanced,6.979678978978979
29.0,Conservative,7.008299999999999
29.0,Progressive,6.977357917917918
30.0,Progressive,6.976437417417417
30.0,Balanced,6.978738898898899
30.0,Conservative,7.008680000000001
30.0,Opportunistic,6.969196516516516
30.0,Aggressive,6.951998858858858
31.0,Aggressive,6.950218858858859
31.0,Balanced,6.978098258258259
31.0,Conservative,7.0089999999999995
31.0,Progressive,6.975677337337337
31.0,Opportunistic,6.968296316316318
32.0,Balanced,6.977657435952986
32.0,Conservative,7.00888
32.0,Progressive,6.975057277277276
32.0,Aggressive,6.948978818818818
32.0,Opportunistic,6.9674561361361365
33.0,Progressive,6.974596596596597
33.0,Aggressive,6.947378738738739
33.0,Opportunistic,6.966894494494494
33.0,Conservative,7.00874
33.0,Balanced,6.976977335772648
34.0,Conservative,7.008640000000001
34.0,Opportunistic,6.966034334334335
34.0,Aggressive,6.945838738738738
34.0,Balanced,6.976477275672466
34.0,Progressive,6.973536156156158
35.0,Opportunistic,6.964714094094094
35.0,Aggressive,6.944838758758758
35.0,Progressive,6.972536076076077
35.0,Balanced,6.975597315752626
35.0,Conservative,7.008960000000001
36.0,Balanced,6.974497215692647
36.0,Aggressive,6.942718718718719
36.0,Conservative,7.009559999999999
36.0,Opportunistic,6.964093873873874
36.0,Progressive,6.971315595595595
37.0,Progressive,6.970675475475474
37.0,Balanced,6.973757055452247
37.0,Aggressive,6.941457857857857
37.0,Conservative,7.009740020020019
37.0,Opportunistic,6.9635134134134145
38.0,Balanced,6.972857015492448
38.0,Conservative,7.010100220220221
38.0,Aggressive,6.940196616616617
38.0,Progressive,6.969735435435435
38.0,Opportunistic,6.963013353353355
39.0,Balanced,6.972555914391347
39.0,Progressive,6.968935235235235
39.0,Opportunistic,6.962192372372373
39.0,Aggressive,6.938835655655655
39.0,Conservative,7.01046006006006
40.0,Aggressive,6.937335515515515
40.0,Balanced,6.971735934411368
40.0,Progressive,6.9685152152152146
40.0,Opportunistic,6.961152112112112
40.0,Conservative,7.010740100100099
41.0,Balanced,6.970975874271065
41.0,Aggressive,6.935935355355357
41.0,Opportunistic,6.96031203203203
41.0,Conservative,7.01080008008008
41.0,Progressive,6.967895175175175
42.0,Conservative,7.0108401001001
42.0,Opportunistic,6.959631831831831
42.0,Aggressive,6.934613513513514
42.0,Progressive,6.967055155155156
42.0,Balanced,6.970455774170965
43.0,Conservative,7.0113000600600595
43.0,Opportunistic,6.958671011011011
43.0,Aggressive,6.933233393393393
43.0,Progressive,6.966795255255256
43.0,Balanced,6.969834672989623
44.0,Aggressive,6.9319132932932925
44.0,Progressive,6.966335215215215
44.0,Balanced,6.9695544126491225
44.0,Opportunistic,6.95785061061061
44.0,Conservative,7.01146014014014
45.0,Opportunistic,6.956970109307705
45.0,Progressive,6.965435135135135
45.0,Aggressive,6.929472892892894
45.0,Balanced,6.9686943125490215
