strategy,quartile,cycle_mean,cycle_sd,,,
Aggressive,0,25448.96,1838.995149,,25.4,1.8
Aggressive,0.25,11576.8,308.2175206,,11.6,0.3
Aggressive,0.5,8217.78,208.3838084,,8.2,0.2
Aggressive,0.75,5399.24,249.1842339,,5.4,0.2
Conservative,0,67989.12,1563.498854,,68,1.6
Conservative,0.25,62130.72,1587.846265,,62.1,1.6
Conservative,0.5,54435.8,1634.68162,,54.4,1.6
Conservative,0.75,43704.04,1498.539689,,43.7,1.5
Balanced,0,44861.58,3259.097992,,44.9,3.3
Balanced,0.25,21181.94,560.718518,,21.2,0.6
Balanced,0.5,15180.36,507.4004241,,15.2,0.5
Balanced,0.75,9586.68,412.8185287,,9.6,0.4
Progressive,0,63539.56,3462.142401,,63.5,3.5
Progressive,0.25,22620.34,959.4260495,,22.6,1
Progressive,0.5,15717.98,607.1221455,,15.7,0.6
Progressive,0.75,9869.8,487.7710529,,9.9,0.5
Opportunistic,0,60605.52,3162.391932,,60.6,3.2
Opportunistic,0.25,32473.14,918.7416396,,32.5,0.9
Opportunistic,0.5,23275.64,733.1990387,,23.3,0.7
Opportunistic,0.75,14957.06,696.5028761,,15,0.7
