strategy,quartile,cycle_mean,cycle_sd
Aggressive,0.0,53937.12,1304.5849399713306
Aggressive,0.25,31913.58,671.333779576151
Aggressive,0.5,21040.96,614.8181832054091
Aggressive,0.75,11439.36,461.38798250496296
Conservative,0.0,57966.94,652.2194848362014
Conservative,0.25,54206.82,619.9327282859003
Conservative,0.5,48099.02,681.0603054062101
Conservative,0.75,33534.38,1296.0660614335982
Balanced,0.0,56291.58,891.0680802273192
Balanced,0.25,39481.5,817.6663439325358
Balanced,0.5,28014.54,993.9156344479144
Balanced,0.75,15943.42,821.675096129851
Progressive,0.0,56529.3,937.1835946067343
Progressive,0.25,39454.78,781.8253075975476
Progressive,0.5,27916.6,729.1089904808472
Progressive,0.75,15780.2,746.7856988453916
Opportunistic,0.0,55625.74,977.4124167412649
Opportunistic,0.25,37688.98,847.8980950562396
Opportunistic,0.5,25965.54,724.418144720299
Opportunistic,0.75,14485.6,619.716644927341
