Time,strategy,percent,reputation,rep_idx,profit,pr_idx
32.0,Aggressive,0.75,4.403959629939194,32,-1.6612084035003525,32
46.0,Aggressive,0.5,4.100260875142819,46,-2.1831317995838635,46
48.0,Balanced,0.75,5.506191577565193,48,-1.8083535493416985,48
50.0,Progressive,0.75,5.612711510573224,50,-1.8094290673324696,50
58.0,Opportunistic,0.75,4.918558781975326,58,-2.157590503455688,58
63.0,Aggressive,0.25,3.905354184386305,63,-2.625242362359239,63
71.0,Balanced,0.5,5.411786018968866,71,-2.587015562459001,71
76.0,Progressive,0.5,5.458200048741889,76,-2.682322922525091,76
87.0,Opportunistic,0.5,4.793926974994347,87,-3.0785464543744085,87
100.0,Balanced,0.25,5.214777901020548,100,-3.352359745981526,100
107.0,Progressive,0.25,5.699760028370323,107,-3.464649394951115,107
119.0,Opportunistic,0.25,4.7567315119521005,119,-3.9380641095739937,119
152.0,Conservative,0.75,8.587206785627755,152,-4.063154186520564,152
190.0,Conservative,0.5,8.627075073222738,190,-6.13738231692842,190
216.0,Conservative,0.25,8.647202214274591,216,-7.537718963829096,216
